# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
DVE; Dorsorectal Ventral Process E; B.ppap; Male specific interneuron, cell body in dorsorectal ganglion
DVF; Dorsorectal Ventral Process F; B.ppppa; Male specific interneuron, cell body in dorsorectal ganglion
DX1/2; Dorsorectal Interneuron X 1/2; F.lvda; Male specific interneuron, cell body in dorsorectal ganglion
DX1/2; Dorsorectal Interneuron X 1/2; F.rvda; Male specific interneuron, cell body in dorsorectal ganglion
DX3/4; Dorsorectal Interneuron X 3/4; U.laa; Male specific interneuron, cell body in pre-anal ganglion
DX3/4; Dorsorectal Interneuron X 3/4; U.raa; Male specific interneuron, cell body in pre-anal ganglion
EF1/2; E or F Lineage Neuron 1/2; F.lvda; Male specific interneuron, cell body in dorsorectal ganglion
EF1/2; E or F Lineage Neuron 1/2; F.rvda; Male specific interneuron, cell body in dorsorectal ganglion
EF3/4; E or F Lineage Neuron 3/4; U.lap; Male specific interneuron, cell body in preanal ganglion, synaptic inputs from ray neurons
EF3/4; E or F Lineage Neuron 3/4; U.rap; Male specific interneuron, cell body in preanal ganglion, synaptic inputs from ray neurons
FLPL; FLaP-like Dendritic Ending Left; AB plapaaapad; Neuron, ciliated ending in head, no supporting cells, associated with ILso
FLPR; FLaP-like Dendritic Ending Right; AB prapaaapad; Neuron, ciliated ending in head, no supporting cells, associated with ILso
HOA; HOok Neuron A; P10.pppa; Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion
HOB; HOok Neuron B; P10.ppap; Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion
HSNL; Hermaphrodite-Specific Neuron Left; AB plapppappa; Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic
HSNR; Hermaphrodite-Specific Neuron Right; AB prapppappa; Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic
I1L; Interneuron 1 (pharynx) Left; AB alpapppaa; Pharyngeal interneurons: ant sensory, input from RIP
I1R; Interneuron 1 (pharynx) Right; AB arapappaa; Pharyngeal interneurons: ant sensory, input from RIP
I2L; Interneuron 2 (pharynx) Left; AB alpappaapa; Pharyngeal interneurons, ant sensory
I2R; Interneuron 2 (pharynx) Right; AB arapapaapa; Pharyngeal interneurons, ant sensory
I3; Interneuron 3 (pharynx); MS aaaaapaa; Pharyngeal interneuron, ant sensory
I4; Interneuron 4 (pharynx); MS aaaapaa; Pharyngeal interneuron
I5; Interneuron 5 (pharynx); AB arapapapp; Pharyngeal interneuron, post sensory
I6; Interneuron 6 (pharynx); MS paaapaa; Pharyngeal interneuron, post sensory
IL1DL; Inner Labial 1 Dorsal Left; AB alapappaaa; Inner labial neuron
IL1DR; Inner Labial 1 Dorsal Right; AB alappppaaa; Inner labial neuron
IL1L; Inner Labial 1 Left; AB alapaappaa; Inner labial neuron
IL1R; Inner Labial 1 Right; AB alaappppaa; Inner labial neuron
IL1VL; Inner Labial 1 Ventral Left; AB alppapppaa; Inner labial neuron
IL1VR; Inner Labial 1 Ventral Right; AB arapppppaa; Inner labial neuron
IL2DL; Inner Labial 2 Dorsal Left; AB alapappap; Inner labial neuron
IL2DR; Inner Labial 2 Dorsal Right; AB alappppap; Inner labial neuron
IL2L; Inner Labial 2 Left; AB alapaappp; Inner labial neuron
IL2R; Inner Labial 2 Right; AB alaappppp; Inner labial neuron
IL2VL; Inner Labial 2 Ventral Left; AB alppapppp; Inner labial neuron
IL2VR; Inner Labial 2 Ventral Right; AB arapppppp; Inner labial neuron
LUAL; LUmbar Ganglion A Left; AB plpppaapap; Interneuron, short process in post ventral cord
LUAR; LUmbar Ganglion A Right; AB prpppaapap; Interneuron, short process in post ventral cord
M1; Motor Neuron 1 (pharynx); MS paapaaa; Pharyngeal motorneuron
M2L; Motor Neuron 2 (pharynx) Left; AB araapappa; Pharyngeal motorneurons
M2R; Motor Neuron 2 (pharynx) Right; AB araappppa; Pharyngeal motorneurons
M3L; Motor Neuron 3 (pharynx) Left; AB araapappp; Pharyngeal sensory-motorneurons
M3R; Motor Neuron 3 (pharynx) Right; AB araappppp; Pharyngeal sensory-motorneurons
M4; Motor Neuron 4 (pharynx); MS paaaaaa; Pharyngeal motorneuron
M5; Motor Neuron 5 (pharynx); MS paaapap; Pharyngeal motorneuron
MCL; Marginal Cell Neuron (pharynx) Left; AB alpaaappp; Pharyngeal neurons that synapse onto marginal cells
MCR; Marginal Cell Neuron (pharynx) Right; AB arapaappp; Pharyngeal neurons that synapse onto marginal cells
MCML; Mystery Cell of the Male Left; AmsoL; Male specific interneuron
MCMR; Mystery Cell of the Male Right; AmsoR; Male specific interneuron
MI; Motor/Interneuron (pharynx); AB araappaaa; Pharyngeal motor neuron/interneuron
NSML; NeuroSecretory Motor Neuron (pharynx) Left; AB araapapaav; Pharyngeal neurosecretory motorneuron, contain serotonin
NSMR; NeuroSecretory Motor Neuron (pharynx) Right; AB araapppaav; Pharyngeal neurosecretory motorneuron, contain serotonin
