Cell name,Type,Name details,Lineage,Classification
OLLL,Cephalic,Outer Labial Lateral Dendrite Left,AB alppppapaa,Lateral outer labial neurons
OLLR,Cephalic,Outer Labial Lateral Dendrite Right,AB praaapapaa,Lateral outer labial neurons
OLQDL,Cephalic,Outer Labial Quadrant Dendrite Dorsal Left,AB alapapapaa,Quadrant outer labial neuron
OLQDR,Cephalic,Outer Labial Quadrant Dendrite Dorsal Right,AB alapppapaa,Quadrant outer labial neuron
OLQVL,Cephalic,Outer Labial Quadrant Dendrite Ventral Left,AB plpaaappaa,Quadrant outer labial neuron
OLQVR,Cephalic,Outer Labial Quadrant Dendrite Ventral Right,AB prpaaappaa,Quadrant outer labial neuron
PDA,Ventral cord motor neuron,Preanal Cell Body Dorsal Axon A,AB prpppaaaa,"Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male"
PDB,Ventral cord motor neuron,Preanal Cell Body Dorsal Axon B,P12.apa,"Motor neuron, process in dorsal cord, cell body in pre-anal ganglion"
PDEL,Mechanosensory,Posterior DEirid Left,V5L.paaa,"Neuron, dopaminergic of postderid sensillum"
PDER,Mechanosensory,Posterior DEirid Right,V5R.paaa,"Neuron, dopaminergic of postderid sensillum"
PHAL,Phasmid,PHasmid Neuron A Left,AB plpppaapp,"Phasmid neurons, chemosensory"
PHAR,Phasmid,PHasmid Neuron A Right,AB prpppaapp,"Phasmid neurons, chemosensory"
PHBL,Phasmid,PHasmid Neuron B Left,AB plapppappp,"Phasmid neurons, chemosensory"
PHBR,Phasmid,PHasmid Neuron B Right,AB prapppappp,"Phasmid neurons, chemosensory"
PHCL,Phasmid,PHasmid Neuron C Left,TL.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike"
PHCR,Phasmid,PHasmid Neuron C Right,TR.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike"
PLML,Mechanosensory,Posterior Lateral Microtubule Neuron Left,AB plapappppaa,"Posterior lateral microtubule cells, touch receptor neurons"
